,0,1,2,3,4,5,6
139,TynX,Jungle,22,Denmark,Europe,EUW,"['tempundieaibnxel', 'Tomoa', 'Bubblegum miner']"
140,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
141,Yoppa,Top,23,Serbia,Europe,MISSING,[]
142,Zven,ADC,24,Denmark,Europe,NA,['C9 Zven']
143,Tutsz,Mid,MISSING,Brazil,Brazil,BR,['Tutsz']
144,Jezu,ADC,21,France,Europe,EUW,['IECFLOPS']
145,Griffin,Jungle,24,United States,North America,NA,['xianbaowei']
146,clx,Mid,22,China,China,MISSING,[]
147,Alois,Top,MISSING,Netherlands,Europe,EUW,"['SK Alois', 'AloisNL']"
148,113,Top,17,Turkey,Turkey,EUW,"['BLU 113', '113 GODMODEEEEEe']"
149,Crowno,Top,MISSING,Austria,Europe,EUW,['KHK Crowno']
150,Pabu,Jungle,22,Australia,Oceania,EUW,['22PABU22']
151,Rayito,ADC,MISSING,Spain,Europe,EUW,['lvl 16 eevee']
152,Neon,ADC,22,Slovakia,Europe,EUW,"['DB Coοper', 'x4T7']"
153,Exakick,ADC,MISSING,France,Europe,EUW,"['LDLC Exakick', 'why is it hard']"
154,Kadir,Jungle,23,South Korea,Europe,EUW,"['TommyTakeover', 'Sniffing th snow']"
155,Meiko,Support,23,China,China,KR,['2639435600627104']
156,Summit,Top,23,South Korea,Korea,NA,"['C9 Summit', 'itmmus']"
157,Trayton,Support,23,France,Europe,EUW,['TraYtoN PXXL']
158,SofM,Jungle,24,Vietnam,China,KR,['2639442422695360']
159,Nuguri,Top,22,South Korea,Korea,KR,"['asdfgasdf', 'INTP그자체', '늘 완벽하고싶다']"
160,Evolved,Jungle,MISSING,Canada,North America,NA,['KatEvolved']
161,Jeyrus,ADC,MISSING,Turkey,Turkey,EUW,['BJK Jeyrus']
162,Zeyzal,Support,22,United States,North America,MISSING,[]
163,Photic,ADC,19,China,China,KR,['허태익']
164,Flandre,Top,23,China,China,KR,['2639436125489088']
165,Solo,Top,28,United States,North America,NA,"['fox solo', 'howlareyou']"
166,DoRun,Top,22,South Korea,Korea,MISSING,[]
167,Jeskla,ADC,21,Sweden,Europe,EUW,['Jesklaa']
168,Rekkles,ADC,25,Sweden,Europe,EUW,['KC Rekkles']
169,Crisp,Support,23,China,China,KR,"['yueqianlongma', 'iwantsomegoodday', '2639431055893952']"
170,Kenvi,Jungle,MISSING,Philippines,North America,NA,"['100 Kenvi', 'Kenvi']"
171,Maxlore,Jungle,25,United Kingdom,Europe,EUW,"['Maxlore', 'Sαrge']"
172,DudsTheBoy,ADC,26,Brazil,Brazil,BR,"['LOUD DudsTheBoy', 'DUDAO REAL CRIA']"
173,Prime,Support,22,France,Europe,EUW,['EINS Prime']
174,Tiger,ADC,MISSING,Tunisia,Europe,EUW,"['Squal Leonhart', 'Tïiger']"
175,Hang,Support,19,China,China,KR,['2639444711991200']
176,Mori,Jungle,MISSING,China,China,MISSING,[]
177,Klaus,ADC,25,Brazil,Brazil,BR,['Klaus']
178,Jinjiao,ADC,23,China,China,MISSING,[]
179,Mersa,Support,19,Greece,Europe,EUW,['be like keria']
180,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
181,Decay,Mid,MISSING,France,Europe,EUW,"['Decay0', 'Decay00']"
182,XMJ,Jungle,MISSING,China,China,MISSING,[]
183,5Kid,ADC,22,South Korea,Korea,MISSING,[]
184,Clid,Jungle,MISSING,South Korea,Korea,KR,['콩나물이좋아요']
185,369,Top,20,China,China,KR,['2639443362113504']
186,Saken,Mid,MISSING,France,Europe,EUW,"['KC SAKEN', 'dabbbu']"
187,GimGoon,Top,26,South Korea,Korea,KR,"['킹 갓 황 샘', 'GimGoon']"
188,Selfmade,Jungle,22,Poland,Europe,EUW,['VIT TroubleMaker']
189,ping,Jungle,MISSING,China,China,MISSING,[]
190,Route,ADC,23,South Korea,Korea,KR,['징징문']
191,Coldraa,ADC,19,Turkey,Turkey,EUW,"['BSC Coldraa', 'C0ldraa']"
192,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
193,Peyz,ADC,16,South Korea,Korea,KR,['Gen G Peyz']
194,Skytec,Support,MISSING,Canada,North America,NA,['SkyTec']
195,Kobbe,ADC,25,Denmark,Europe,EUW,"['Kobbe', 'McD CoWorker']"
196,Supa,ADC,MISSING,Spain,Europe,EUW,"['Supaaa', '4tukano4', 'K1374n0']"
197,Value,ADC,24,United States,North America,NA,"['0xf7', 'tommytomato52']"
198,Nemesis,Mid,22,Slovenia,Europe,EUW,"['Leminem', 'GenG Janitor']"
199,Kynetic,ADC,MISSING,Germany,Europe,EUW,"['Kynetic', 'EINS SpandauBube']"
200,Fly,Mid,26,South Korea,Korea,KR,['검은머리사나이']
201,Blaber,Jungle,22,United States,North America,NA,['blaberfish2']
202,Alphari,Top,22,United Kingdom,Europe,EUW,"['Alphari', 's t a n k y fish']"
203,Griffon,Mid,MISSING,Russian Federation,Russia,EUW,['Jestkoe Myaso']
204,LokeN,ADC,25,South Korea,Korea,KR,"['NekoL', '아이러니']"
205,Lamabear,Jungle,23,Germany,Europe,EUW,['Bin ein Macher']
206,Zeka,Mid,21,South Korea,Korea,KR,"['호랑이는공룡알', 'DRX ZEKA']"
207,Kadaver,ADC,MISSING,Denmark,Europe,EUW,['Michael Yeadon']
208,Kerberos,None,23,United Kingdom,Europe,EUW,"['kerberos int acc', 'use top']"
209,Vander,Support,27,Poland,Europe,EUW,"['vandiii', 'boomerbutzoomer']"
210,SwordArt,Support,25,Taiwan,PCS,MISSING,[]
211,Life,Support,21,South Korea,Korea,KR,"['Rascal', 'Doinb']"
212,SLT,Top,21,France,Europe,EUW,['huntiandi1']
213,Mask,Mid,21,South Korea,Korea,KR,"['Seven', '교생관양']"
214,Wink,ADC,22,China,China,KR,"['2639432520533152', 'Uarein']"
215,Aesenar,Support,MISSING,Spain,Europe,EUW,"['Aesenar', 'Sisauskas']"
216,Zzus,Support,23,South Korea,Korea,KR,"['zzzusss', 'cxvzinjawrejnk']"
217,ry0ma,Mid,22,Australia,Oceania,NA,"['ryooooma22', 'ddb']"
218,Zergsting,Support,23,Turkey,Turkey,EUW,['Zergsting']
219,Fresskowy,Mid,MISSING,Poland,Europe,EUW,"['Fressko', 'Fresskovíć']"
220,Febiven,Mid,25,Netherlands,Europe,EUW,"['FFEBIVEN', 'I love my chat']"
221,Tomio,Jungle,MISSING,Canada,North America,NA,['c2 meteos']
222,Doublelift,ADC,28,United States,North America,NA,['Doublelift']
223,Danchung,Mid,26,South Korea,Korea,KR,['단군의청춘부재']
224,Sylvie,Jungle,19,South Korea,Korea,KR,['NS Sylvie']
225,Envyy,ADC,21,South Korea,Korea,KR,"['LSB Envy', '리브 엔비']"
226,Chime,Support,MISSING,Canada,North America,NA,['Chime2']
227,Wayne,ADC,MISSING,South Korea,Korea,KR,['jkjkjkjkk']
228,Leo,ADC,22,South Korea,Korea,KR,"['읽씹맨', '겨울레몬']"
229,AnDa,Jungle,26,Canada,North America,NA,"['AnDa', 'Chorong']"
230,JayJ,Support,24,United States,North America,NA,['Beside April']
231,Meteor,Jungle,22,China,China,MISSING,[]
232,Azhy,Jungle,22,South Korea,Korea,KR,"['Azhy', '길의 끝']"
233,Aladoric,Support,MISSING,Australia,Oceania,OCE,['MARTIANDESTROYER']
234,HyBriD,ADC,22,South Korea,Korea,KR,['Dont Start Now']
235,Aria,Mid,21,South Korea,Korea,KR,['qweaszv']
236,MaRin,Top,31,South Korea,Korea,KR,"['커피물조절장인', 'MaRin']"
237,PowerOfEvil,Mid,24,Germany,Europe,NA,"['IMT PoE', 'Windwall Mid']"
238,TaNa,Top,22,South Korea,Korea,KR,"['FA TaNa', 'Jin Air TaNa']"
239,Jett,Mid,20,South Korea,Korea,KR,"['아아스크림', '아아스케이크']"
240,Lucid,Jungle,17,South Korea,Korea,KR,['DK Lucid']
241,WildTurtle,ADC,27,Canada,North America,NA,"['MiLDRABB1T', 'FZ3R0', 'WildTurtle', 'blueberry2']"
242,Busio,Support,18,United States,North America,NA,"['Busio3', '100 Busio']"
243,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
244,Ian,Mid,24,South Korea,Korea,KR,"['양희지', '트위치tv 이안']"
245,Chasy,Top,20,South Korea,Korea,KR,"['jizhong', 'Chasy']"
246,Xiaopeng,Jungle,24,China,China,KR,['JUG242SH']
247,Bluster,Jungle,16,Vietnam,North America,NA,['rklckp251']
248,nobrain,Support,19,South Korea,Korea,KR,['도구는 툴툴']
249,Trigger,ADC,21,South Korea,Korea,KR,['UijU']
250,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
251,PerfecT,Top,17,South Korea,Korea,KR,['폭탄목걸이수련법']
252,Utility,Support,20,South Korea,Korea,KR,['iwilldomybest']
253,deokdam,ADC,22,South Korea,Korea,KR,['DWG KIA']
254,Blue,Mid,MISSING,Belgium,Turkey,MISSING,[]
255,Bull,ADC,18,South Korea,Korea,KR,['sksqnf']
256,Art,ADC,23,Japan,Korea,KR,['qseawd']
257,Tian,Jungle,21,China,China,KR,"['ziyou', 'n1ka']"
258,Gori,Mid,MISSING,South Korea,Korea,KR,"['GGGori', 'FPXGori1', 'IIrrooGG']"
259,Jiin,Mid,20,South Korea,Korea,KR,"['트루 러버', '원딜 참 어렵다']"
260,Faker,Mid,25,South Korea,Korea,KR,['Hide on bush']
261,Sleepy,ADC,15,South Korea,Korea,KR,['T1 Smash1']
262,Quid,Mid,MISSING,South Korea,Korea,KR,['Gen G Quid']
263,Meaning,Top,20,South Korea,Korea,KR,['돌이킬 수 있는']
264,Kingdom,ADC,19,South Korea,Korea,KR,['DK Kingdom']
265,SOLKA,Mid,19,South Korea,Korea,KR,"['Quad', 'xueren', 'Gen G Quad', 'KZ Quad', '니얘미1']"
266,Asper,Support,22,South Korea,Korea,KR,"['태기베어', 'T1 Asper']"
267,Xerxe,Jungle,22,Romania,Europe,MISSING,[]
268,Rascal,Top,24,South Korea,Korea,KR,"['숙제하기시러요', '막판에 약한 사람', '다같이힘냅시다']"
269,BuLLDoG,Mid,16,South Korea,Korea,KR,['미닛메이드 불독']
270,Pullbae,Mid,17,South Korea,Korea,KR,['DK Pullbae']
271,Noah,ADC,20,South Korea,Korea,KR,['핫소스구독좋아요']
272,Doran,Top,21,South Korea,Korea,KR,"['어리고싶다', '2633831929956160']"
273,BeryL,Support,25,South Korea,Korea,KR,['율자주세요']
274,Minit,Support,24,South Korea,Korea,KR,"['M1nit', '코로나시러']"
275,Yusin,Support,22,South Korea,Korea,KR,['8teen']
276,Keria,Support,19,South Korea,Korea,KR,"['역천괴', '밍시류']"
277,Castle,Top,MISSING,South Korea,Korea,KR,['KT Castle']
278,OnFleek,Jungle,24,South Korea,Korea,KR,['HLE OnFleek']
279,Clouvy,Support,19,South Korea,Korea,KR,"['NS HH', 'SUPGOD 12']"
280,Lehends,Support,23,South Korea,Korea,KR,"['Lehends', 'Always be crying']"
281,Deft,ADC,25,South Korea,Korea,KR,['베란다고양이']
282,Dasher,Top,MISSING,South Korea,Korea,KR,['natsunoomoide']
283,Clear,Top,19,South Korea,Korea,KR,['점수가 내 실력']
284,Prove,Support,19,South Korea,Korea,KR,['Life is AR']
285,Nino,Mid,19,South Korea,Korea,KR,['FA Na Kyung']
286,Burdol,Top,18,South Korea,Korea,KR,"['Unknown Surf', 'TOPKING', 'Burdoll']"
287,Sangchu,Top,21,South Korea,Korea,KR,['사랑하지 않아']
288,Jiejie,Jungle,20,China,China,KR,['2639435278730592']
289,SoHwan,Top,25,South Korea,Korea,MISSING,[]
290,NOsFerus,Mid,22,Brazil,Brazil,BR,['nsf']
291,Soul,Jungle,MISSING,Spain,Europe,EUW,['SmurfWithHarambe']
292,Pirean,Mid,23,South Korea,Korea,MISSING,[]
293,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
294,CaD,Jungle,20,South Korea,Korea,MISSING,[]
295,Markoon,Jungle,19,Netherlands,Europe,EUW,"['Markoon', 'ikklapjouwII']"
296,Betty,ADC,22,Taiwan,PCS,KR,['2639436445738336']
297,Alexx,Jungle,MISSING,Sweden,Europe,EUW,"['Happy Alexx', 'Alexanderkylling']"
298,Perkz,Mid,23,Croatia,Europe,EUW,['V PERKZ']
299,Racoon,Jungle,MISSING,South Korea,Korea,MISSING,[]
300,Eric,ADC,20,China,China,MISSING,[]
301,Svenskeren,Jungle,26,Denmark,North America,NA,"['Moon1234', 'warhunter', 'liveevil']"
302,Hylissang,Support,26,Bulgaria,Europe,EUW,['FNC Hylissang']
303,Huhi,Support,26,France,North America,NA,"['huhi', 'banande']"
304,Jockster,Support,26,Brazil,Brazil,BR,['Jockster1']
305,Lindgarde,ADC,MISSING,Sweden,Europe,EUW,['Lindgarde']
306,Bolulu,Mid,MISSING,Sweden,Turkey,EUW,['BoluIu']
307,Karis,Mid,18,South Korea,Korea,KR,['HLE Karis1']
308,Diamondprox,Jungle,29,Russian Federation,Russia,EUW,['Dîamondprox']
309,Nuclearint,Mid,19,France,Europe,EUW,['knight9żż']
310,Frappii,ADC,20,France,Europe,EUW,"['Koupfonga', '453908723450897']"
311,Maple,Mid,24,Taiwan,PCS,KR,"['wbwbwbwbwb1', '2654328365704800']"
312,Yagao,Mid,23,China,China,KR,['2639436654839072']
313,XinMo,Support,23,China,China,MISSING,[]
314,Oncan,Top,21,Netherlands,Europe,EUW,['panda 10hp']
315,Valhalla,ADC,24,Russian Federation,Russia,EUW,['ff simułator']
316,Wos,Support,26,Brazil,Brazil,BR,['Little Wos']
317,Puff,ADC,26,China,China,KR,['2639432310449568']
318,Delitto,Top,27,Greece,Europe,EUW,['Delitto']
319,Xiaohu,Mid,24,China,China,KR,['2639440332080384']
320,Nji,Jungle,MISSING,France,Europe,EUW,['Clarence Kennedy']
321,l3est16,Jungle,21,China,China,MISSING,[]
322,DizL,ADC,MISSING,Austria,Europe,EUW,['DizL1']
323,Ksaez,Mid,MISSING,South Korea,Turkey,EUW,['SMB Ksaez']
324,Nukes,Support,24,Estonia,Europe,EUW,['SirNukesAhot']
325,Southwind,Support,25,China,China,KR,['2639432204224288']
326,Twila,Mid,23,China,China,MISSING,[]
327,stillnumb,Mid,MISSING,Turkey,Turkey,EUW,"['narrator fan', 'stillnumb', 'TonyTonyChoppaa']"
328,COLD,Support,25,China,China,KR,['OZRd14XazC']
329,Kireas,Jungle,20,Denmark,Turkey,EUW,['GOD KIREAS']
330,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
331,Maggie,Jungle,21,China,China,MISSING,[]
332,Dajor,Mid,MISSING,Germany,Europe,EUW,['dajor25']
333,Tay,Top,MISSING,Brazil,Brazil,BR,['LOUD T']
334,Raxxo,Support,25,Poland,Europe,EUW,"['ayekasia', 'MORG3NSHTERN']"
335,Professor,Support,26,Brazil,Brazil,BR,['no one knows us']
336,Hantera,Support,23,France,Europe,EUW,['KC Hantera1']
337,kaSing,Support,MISSING,United Kingdom,Europe,EUW,"['X7 Kasing', 'YeIIow Cat', 'Kasing 1']"
338,Goku,Mid,25,Brazil,Brazil,BR,"['goku chan', 'Hatsune Míku']"
339,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
340,Fenix,Mid,26,South Korea,Korea,MISSING,[]
341,Ranger,Jungle,26,Brazil,Brazil,BR,['Ranger']
342,Abbedagge,Mid,22,Germany,Europe,NA,['Teutonics KnighT']
343,Jactroll,Support,MISSING,Poland,Europe,EUW,"['V Jactroll', 'V Julius Caesar']"
344,Inspired,Jungle,20,Poland,Europe,MISSING,[]
345,Clozer,Mid,18,South Korea,Korea,KR,"['2633830682928864', '딸기타르트으']"
346,Mole,Mid,21,China,China,MISSING,[]
347,CJJ,Top,MISSING,China,China,MISSING,[]
348,Tolkin,Top,MISSING,Germany,Europe,EUW,"['Augenringe', 'Tolkin']"
349,FBI,ADC,23,Australia,North America,NA,['ADCADC123']
350,StarScreen,Top,MISSING,Turkey,Turkey,EUW,"['D0G S3R1N', 'SScreen']"
351,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
352,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
353,FATE,Mid,21,South Korea,Korea,KR,"['잘하고싶워요', 'FATE']"
354,Maynter,Top,MISSING,Ukraine,Russia,EUW,['Maynter']
355,HolyPhoenix,ADC,24,Turkey,Turkey,EUW,['HoIyPhoenîx']
356,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
357,Carlsen,Top,16,Denmark,Europe,EUW,['Long Time']
358,Eren,Mid,MISSING,Vietnam,Europe,EUW,['MAD Card0netti']
